source,target
24037,548091
24039,548091
24628,122062
25208,533197
25941,538433
25941,543130
26026,31355
26052,548387
26140,544481
26442,271031
26442,548091
27182,122062
27182,145679
27182,547688
27590,42537
27590,101538
27590,240422
27590,334977
27590,447864
27995,58902
27995,195312
27995,348174
27995,545828
27995,548091
28382,180637
28382,269822
28382,547232
28565,548387
28583,280127
28583,293126
28583,544908
28821,125290
28821,175055
28821,545137
28821,547522
28821,548179
29546,543078
30925,407059
30925,489574
31030,546337
31258,548091
31355,38400
31355,154549
31355,155625
31355,174540
31355,178312
31355,191670
31355,335027
31355,411590
31355,475917
31355,487130
31355,510259
31355,514687
31519,104116
31519,111443
31519,149299
31519,499586
31519,521590
31519,547697
31786,430089
32031,548091
32104,240068
32104,245575
32104,292632
32104,344159
32104,414079
32104,470799
32393,544670
32909,548084
32909,548091
32928,545525
32928,547522
33053,547694
33195,115262
33195,174123
33195,224848
33195,277253
33195,283928
33195,409673
33195,422021
33195,453053
33195,520421
33195,546752
33216,136205
33216,548091
33570,548091
33716,283321
33830,77992
33830,143653
33830,412867
34202,545554
34293,281217
34809,44995
34809,84303
34809,171033
34809,210914
34809,546813
34809,546863
34864,486466
35006,535066
35180,82973
35300,545385
35300,545832
35370,548091
35466,94323
35466,237612
35466,283957
35466,385299
35466,481834
35466,541361
35466,548091
35656,376104
35822,251706
35822,427956
36156,56835
36156,277034
36156,548091
36182,547694
36383,402723
36383,547128
36383,548091
36427,56835
36461,447010
37533,548284
37711,544481
38070,64285
38070,98574
38070,239179
38070,262822
38070,287879
38070,300413
38070,544670
38070,546594
38070,547510
38070,548091
38141,309082
38141,538982
38141,544062
38141,546098
38141,548282
38319,402723
38600,121128
38600,121137
38600,246070
38600,537961
38600,544551
38950,426295
38950,544686
38950,545386
38950,547204
38980,106090
38980,174820
38980,175655
38980,240435
38980,291879
38980,331361
38980,345945
38980,449665
38980,450459
38980,482917
38980,523998
38980,532255
38980,538516
38980,542785
38980,544949
38980,544951
38980,545380
38980,546703
38980,547174
38980,547620
39040,548091
39246,82973
39458,548091
39760,346884
39760,545385
39982,202059
40113,545385
40113,545832
40200,239179
40270,548084
40394,208249
40962,432100
40962,467609
41552,376104
41771,548091
41786,175965
41786,548091
42038,241510
42038,547133
42060,96587
42060,121128
42060,234658
42060,251471
42060,544551
42070,134393
42070,535779
42084,92303
42084,96590
42084,182969
42084,255997
42084,496874
42086,259708
42086,548091
42594,243953
42679,239544
42679,365527
42679,548091
42855,438939
42855,538982
42855,548091
42890,239179
43094,545015
43254,47755
43254,59764
43254,161903
43254,161919
43254,247648
43254,249382
43254,265756
43254,290120
43254,321825
43254,459153
43254,516876
43254,529188
43254,537413
43254,542888
43254,545504
43254,547443
43254,547976
43275,283321
43295,166705
43311,274123
43311,533585
43311,547699
43397,546359
43397,548091
43776,202059
43776,548091
43826,89492
43826,163137
43911,132566
43911,237612
43911,316882
43911,532406
43911,547522
44073,283957
44073,352614
44073,466205
44149,548387
44178,547128
44236,277034
44237,277034
44241,546337
44741,545015
44797,547128
45193,376104
45384,393869
46443,218678
46443,283321
46443,546566
46660,470799
46882,98500
47100,548091
47416,166705
47416,543078
47416,546567
47463,545015
48491,243953
48491,544481
48774,535779
48774,548091
48835,517193
49126,544481
49673,70250
49673,547292
49803,548284
50475,542957
50483,77922
50483,162866
50483,238585
50483,252166
50483,366733
50483,397938
50483,429881
50483,548091
50524,109534
50524,142233
50524,142760
50524,155356
50524,265630
50524,271585
50524,425308
50524,437934
50524,536498
50524,543000
50524,543632
50524,544390
50524,547486
51111,130223
51111,528562
51111,530643
51111,537413
51111,545832
51813,136200
51813,195266
51813,234663
51813,258346
51813,282758
51813,320614
51813,481190
51813,537960
51813,543552
51813,548091
51919,243953
51919,286056
51919,544481
52250,185365
52250,324329
53073,429618
53073,528529
53073,528573
53127,129194
53127,133803
53284,543078
53516,542445
53516,547522
53516,547543
53591,548091
53591,548347
53605,160058
53605,512277
53605,548091
53605,548347
53609,71277
53609,76891
53609,90597
53609,96553
53609,101489
53609,105814
53609,115257
53609,137082
53609,265818
53609,301995
53609,364619
53609,405231
53609,461998
53609,476505
53609,511311
53609,543594
53609,544041
53609,544996
53609,545525
53609,545901
53609,546106
53634,544041
53634,545366
53634,547694
53634,548018
53736,62046
53736,216252
53736,545795
53736,547204
53789,166705
53991,82973
53991,241168
53991,530645
53991,542957
53991,548091
54071,542999
54073,470799
54172,546508
54320,548091
54329,533197
54329,545796
54329,546406
54329,548091
54346,545015
54615,64285
54620,546356
54921,485096
54928,67688
54928,96543
54928,193958
54928,268334
54928,495649
54953,346884
55147,89492
55147,163137
55817,409188
56439,56447
56439,210915
56439,238141
56439,238144
56439,400726
56439,400727
56439,463652
56439,545581
56444,463652
56444,545581
56444,546356
56446,546356
56447,76203
56447,238140
56447,238141
56447,262512
56447,317970
56447,345262
56447,355276
56447,400727
56447,463652
56447,544551
56447,545581
56447,546356
56479,548091
56676,234658
56676,240422
56676,546357
56676,548091
57137,166622
57137,546304
57137,547133
57317,100546
57317,213142
57317,213143
57317,360515
57317,429220
57317,485876
57317,486296
57317,530778
57317,535842
57389,548284
57849,105402
57849,166705
57849,362615
57849,475004
57849,545756
57914,175999
57914,465382
57979,534814
58327,73824
58327,548091
58396,96590
58396,544062
58396,544551
58396,545385
58678,544288
58678,545015
58678,548091
58764,548091
58821,100491
58821,537413
58821,546098
58821,547023
58878,126269
58878,210923
58878,546667
58902,195312
58902,228427
58902,492666
58902,545828
59073,128492
59073,197795
59073,368064
59073,481626
59073,533585
59073,538926
59463,67378
59463,88570
59463,96590
59463,102488
59463,114376
59463,139452
59463,164285
59463,175918
59463,224532
59463,283321
59463,323288
59463,330459
59463,345918
59463,370004
59463,388447
59463,388463
59463,412430
59463,546848
59464,182969
59464,255997
59464,398682
59464,533312
59471,545015
59474,82579
59474,93344
59474,117522
59474,120021
59474,121202
59474,129042
59474,317409
59474,347079
59474,359030
59474,514711
59474,533719
59474,547177
59616,75108
59616,320511
59616,465382
59708,129194
59708,133803
59708,430089
59708,548091
59715,104219
59715,121138
59715,121140
59715,543209
59715,546540
59764,192330
59764,316953
59764,475964
59764,528562
59764,537413
59799,163033
59799,255997
59799,545832
59799,546566
59866,407513
60197,67238
60197,142693
60197,162250
60197,163139
60197,172379
60197,186147
60197,215575
60197,221213
60197,228839
60197,243484
60197,284467
60197,285399
60197,354612
60197,372996
60197,473576
60197,485499
60197,516549
60197,520153
60197,531328
60197,541162
60197,545015
60197,546226
60197,546325
60197,546539
60197,546667
60197,546676
60197,547700
60219,544481
60346,202059
60386,202059
60740,546989
60867,548091
60872,545545
60884,547510
61269,107788
61269,169703
61269,212865
61269,351206
61655,166705
61655,252166
61655,346884
61655,548091
61663,485508
61857,65540
61857,168736
61857,233900
61857,261733
61857,277267
61857,413303
61857,468178
61857,485682
61857,523850
62240,530643
62258,256566
62258,283578
62258,547320
62258,547702
62359,547128
62425,546356
62469,177730
62469,542966
62469,546133
62469,548091
63053,188580
63105,426666
63105,544903
63105,548091
63116,96590
63116,544062
63116,544551
63116,545385
63361,548091
63426,376104
63472,546359
63628,547128
63992,161613
63992,251768
63992,268334
63992,342701
64225,548091
64285,76358
64285,90098
64285,97579
64285,110765
64285,158087
64285,160529
64285,169652
64285,194643
64285,209731
64285,256043
64285,261902
64285,262822
64285,276600
64285,284394
64285,287879
64285,298201
64285,315108
64285,325823
64285,350233
64285,386699
64285,391318
64285,391320
64285,438654
64285,475675
64285,478541
64285,482141
64285,505016
64285,541518
64285,542486
64285,544921
64285,546407
64285,546544
64656,386999
64656,532214
64685,548076
65084,548091
65536,133844
65540,413303
65777,543078
65785,543078
65906,470799
65937,548091
66972,548091
67122,548091
67376,548076
67378,283321
67688,132345
67688,151860
67688,165158
67688,216263
67688,250967
67688,327338
67688,331256
67688,430080
67688,461593
67688,472243
67688,479851
67688,543849
67688,547100
67688,548182
67741,544481
67978,115857
67978,184382
67978,235687
67978,545549
67978,545554
68050,534814
68079,125810
68079,253313
68079,544911
68079,547522
68321,83710
68321,191819
68321,221030
68321,235687
68321,545549
69024,140957
69024,318278
69024,362751
69024,511425
69079,208249
69103,548091
69628,230418
70323,180637
70323,269822
70323,547232
70333,118604
70489,548284
70865,546594
71040,548091
72251,160017
72265,98574
72265,547510
72444,250627
72444,381717
72444,437198
72444,517611
72444,539203
72444,547061
72641,255997
72641,283321
72641,545385
72833,544481
73577,529115
73824,123625
73824,140889
73824,210080
73824,543409
74138,364048
74138,407059
74196,108908
74196,177730
74196,527527
74196,542966
74196,546133
74196,548091
74222,84976
74222,92301
74222,93767
74222,96590
74222,124624
74222,157505
74222,211269
74222,211697
74222,218678
74222,235268
74222,259623
74222,264142
74222,283321
74222,320895
74222,481089
74222,537110
74222,544574
74222,546566
74222,548282
74222,548452
74555,89389
74555,240422
74555,277253
74555,316565
74555,431534
74555,511312
74555,544551
74841,548091
75108,135480
75108,316134
75108,320511
75108,465382
76201,546356
76622,547694
76822,76835
76822,79771
76822,98036
76822,194624
76822,194626
76822,244784
76822,251706
76822,377430
76822,427956
76822,440922
76822,483751
76822,547661
76835,79771
76835,98036
76835,148622
76835,194624
76835,194628
76835,244784
76835,251706
76835,377430
76835,427956
76835,440922
76835,547661
76835,548091
76913,78411
76913,109232
76913,114194
76913,194984
76913,288188
76913,346052
76913,369070
76913,445125
76913,447361
76913,475795
76913,522837
76913,538470
76913,539502
76913,542684
77922,238585
77922,366733
77992,143653
77992,148369
77992,254305
77992,259708
77992,314498
77992,414238
77992,468269
77992,507437
77992,548091
78295,546406
78379,438939
78379,457508
78816,230418
79181,166705
79771,548091
80134,385299
80736,143313
80764,470799
81138,241168
81138,286046
81138,401977
81138,508036
81138,508038
81138,530645
81426,548091
81468,533197
82209,363478
82235,407059
82579,117570
82579,149549
82579,174123
82579,234658
82579,240422
82579,409188
82579,461361
82579,491047
82579,544051
82579,544061
82579,544551
82579,548091
82581,265826
82581,545015
82926,545015
82972,545148
82973,87674
82973,113239
82973,128245
82973,148902
82973,199722
82973,210993
82973,222819
82973,228432
82973,241168
82973,293095
82973,334386
82973,364658
82973,401977
82973,421406
82973,454943
82973,508036
82973,508038
82973,542957
82973,542958
82973,543760
82973,544481
82973,548260
82975,129194
82975,210911
82975,462060
82975,510681
82978,129194
82978,158199
82978,190864
82978,224047
82978,242200
82978,314234
82978,330714
82978,363401
82978,381014
82978,447075
82978,479591
82978,481055
82978,491602
82978,546406
82978,547128
82978,547245
83157,289703
83157,525850
83157,548091
83642,261582
83642,261590
83642,548091
83710,118081
83710,191819
83710,257115
83710,529364
83710,545549
83710,545554
83939,283321
83940,447010
84413,230418
84413,548091
84440,364287
84440,376104
84440,541361
84604,350144
84605,548091
84711,243627
84711,361681
84711,426181
84711,544686
84966,454785
84976,182969
84976,283321
84976,545832
85140,243953
85140,544481
85281,449511
85368,138259
85368,151467
85368,261602
85368,545520
85615,544686
85615,545386
85615,547204
86007,176210
86007,235499
86007,253493
86007,260145
86007,384727
86007,435886
86007,545610
86007,547522
86007,547556
86007,547801
86053,251922
86053,269776
86053,274000
86053,310618
86053,317613
86193,208249
86193,548387
86701,546492
86701,546863
87082,544481
87084,202059
87084,208249
87093,548284
87458,208249
87730,393869
88156,96587
88156,234658
88156,537961
88156,544551
88570,283321
89317,104219
89317,543595
89317,547699
89400,545385
89400,546359
89489,548091
89492,163137
89492,544525
89497,99948
89497,224532
89497,240068
89497,245575
89497,292632
89497,301820
89497,344159
89497,414079
89497,470799
89780,162250
89780,547700
90065,548387
90506,243953
90506,544481
90597,285814
90597,548091
91063,218678
91063,283321
91063,546566
91101,265831
91101,543849
91686,98500
91686,127400
91686,238867
91686,264733
91686,495661
91686,544077
91686,547699
91686,547899
91876,122062
91876,145679
91876,547688
92061,265831
92061,320810
92061,410236
92061,547581
92061,548091
92064,548091
92288,543078
92288,544903
92288,545796
92301,255997
92301,283321
92301,545385
92303,163033
92303,182969
92303,219722
92303,255997
92303,545519
92303,548091
92725,202059
92725,208249
92885,320810
92974,546337
93100,219815
93100,547699
93767,177730
93767,218678
93767,255997
94075,521590
94075,547697
94307,159681
94427,420393
94427,544551
94427,546357
95713,95716
95713,102979
95713,131933
95713,244664
95713,398650
95713,409765
95713,440915
95713,442586
95713,514587
95713,522849
95713,537433
95713,543130
95713,545385
95713,545814
95713,546822
95713,546873
95716,115943
95716,131933
95716,174557
95716,219712
95716,226054
95716,274197
95716,277903
95716,280926
95716,292108
95716,296775
95716,301027
95716,366872
95716,392911
95716,398827
95716,402820
95716,420964
95716,440915
95716,473829
95716,480496
95716,514587
95716,522849
95716,537433
95716,543130
95716,544108
95716,544468
95716,544616
95716,545385
95716,545781
95716,545814
95716,546359
95716,546362
95716,546472
95716,546822
95716,546873
95750,268334
95789,545137
95926,208249
96249,548091
96391,256566
96391,544903
96391,545796
96475,400057
96544,534814
96546,142233
96546,166691
96546,170244
96546,199722
96546,248919
96546,277034
96546,355042
96546,360900
96546,391409
96546,453623
96546,542957
96546,543078
96546,544390
96546,545022
96546,545558
96553,548387
96587,110764
96587,121128
96587,136247
96587,190282
96587,234658
96587,238711
96587,251471
96587,428751
96587,484879
96587,491047
96587,537961
96587,542565
96587,544551
96587,545835
96590,110760
96590,113180
96590,135335
96590,136200
96590,137068
96590,163033
96590,167598
96590,177730
96590,182211
96590,182212
96590,182969
96590,195266
96590,218678
96590,226083
96590,227008
96590,234663
96590,235268
96590,238139
96590,251641
96590,255997
96590,259623
96590,280921
96590,283321
96590,288462
96590,297835
96590,320614
96590,320895
96590,356608
96590,375506
96590,379430
96590,481089
96590,481190
96590,490270
96590,508033
96590,531181
96590,537960
96590,543552
96590,543553
96590,546566
96590,547736
96590,548282
96590,548452
96683,548091
96703,547128
97177,237612
97281,545545
97520,141926
97520,344891
97520,394499
97520,428931
97520,432852
97520,507390
97745,104219
97745,260150
97745,544377
97790,547699
97816,271516
97816,276664
97816,323530
98036,98038
98036,194623
98036,194626
98036,194628
98036,251706
98038,194624
98038,377430
98500,127166
98500,159681
98500,180071
98500,193471
98500,208751
98500,217112
98500,252131
98500,273921
98500,332693
98500,355746
98500,476417
98500,486466
98500,542846
98500,546508
98500,548091
98574,546594
99120,546477
99154,545015
99615,548091
99948,428743
100293,386999
100293,532214
100421,180637
100421,269822
100421,547232
100491,545832
100860,202059
100860,208249
100860,548091
100860,548387
101364,104219
101364,209585
101364,546539
101629,108551
101629,140204
101629,281998
101629,547522
101748,543078
101748,544903
101748,545796
102176,144840
102176,210921
102176,246998
102176,529793
102461,243953
102461,281217
102461,544481
102461,548091
102488,283321
102817,112010
102817,121132
102817,194372
102817,210912
102817,210914
102817,252057
102817,475721
102817,525233
102817,544551
102817,546356
102817,546357
102817,546681
102817,546863
102979,543130
103594,208249
103792,103795
103792,204442
103792,226745
103792,271513
103792,535653
103792,543579
103792,546426
104219,121139
104219,121140
104219,140202
104219,149270
104219,265044
104219,265046
104219,265826
104219,284463
104219,334337
104219,377664
104219,464335
104219,539456
104219,545015
104219,545494
104219,546139
104219,546540
104219,546674
104219,547060
104219,547164
104219,548091
104261,545726
104626,548091
105352,105355
105352,115919
105352,136246
105352,142701
105352,223300
105352,335509
105352,364847
105352,482141
105352,538368
105352,545796
105352,546174
105972,533197
106143,167555
106143,258256
106143,355003
106143,419010
106143,469321
106143,547241
106143,548091
107927,548091
107949,534814
108049,548091
108098,218678
108098,283321
108098,546566
108102,126269
108102,210923
108102,546667
108107,543078
108107,544903
108107,545796
108166,281217
108196,366184
108402,188580
108422,543078
108422,544903
108422,545796
108490,208249
108499,283321
108865,169709
108865,250528
108865,276601
108865,280793
108865,314317
108865,322202
108865,336818
108865,545169
108908,177730
109021,263645
109021,491467
109174,548091
109410,182969
109410,283321
109411,207439
109411,548091
109563,213143
109563,278891
109563,487483
109827,545726
109835,109844
109835,112680
109835,148126
109835,175519
109835,190752
109835,261600
109835,292857
109835,386999
109835,532214
109835,544595
109835,548091
109844,148126
109844,175519
109847,148126
109847,190752
109942,177730
110659,548091
110758,121137
110758,165158
110758,211274
110758,246855
110758,356742
110758,358877
110758,363385
110759,548091
110760,182969
110760,255997
110762,441647
110762,548091
110764,121128
110764,537961
110764,544551
110834,140264
110834,207490
110834,387109
110834,486511
110834,545367
110834,546887
110834,546894
110834,547522
112010,544551
112010,545581
112010,546357
112016,202059
112680,148126
112680,175519
112680,292857
112719,234663
113179,177730
113179,335509
113179,547702
113180,544062
113180,544551
113180,545385
113184,544547
113184,544551
113184,546863
113470,193471
113707,543595
113707,547699
113710,545137
113908,545015
114376,164285
114376,164828
114376,175918
114376,182212
114376,235383
114376,283321
114376,323288
114376,345918
114376,388447
114376,508033
114376,547661
114681,363426
114800,309082
114800,528562
114800,530643
114800,548091
115103,545015
115257,285814
115257,548091
115683,363478
115819,115857
115819,184382
115819,235687
115819,545549
115819,545554
115857,120091
115857,120094
115857,184144
115857,191819
115857,235687
115857,244806
115857,257115
115857,362801
115857,429342
115857,545549
115857,545554
115857,548230
115919,124883
115919,136205
115919,241510
115919,252943
115919,292760
115919,295502
115919,364847
115919,370045
115919,377958
115919,394906
115919,431319
115919,485508
115919,534719
115919,538368
115919,545796
115919,546341
116305,547522
116305,548018
116687,542800
116787,166705
117205,201595
118012,548091
118132,529115
118142,208249
118238,547128
118602,118604
118602,158200
118602,224437
118602,224532
118602,227964
118602,240068
118602,245575
118602,292632
118602,344159
118602,414079
118602,470799
118602,548091
118604,140890
118604,158200
118604,186791
118604,299543
118604,548091
118866,545796
118940,408818
118940,409673
118940,498397
119292,548284
119892,543078
120000,547522
120415,545545
120635,538433
120739,220707
120739,351175
120739,376104
120739,487820
121126,124883
121126,128492
121126,143300
121126,145771
121126,210528
121126,256566
121126,329992
121126,424645
121126,434216
121126,466201
121126,487702
121126,494220
121126,521963
121126,541379
121126,544903
121126,545796
121128,136247
121128,190282
121128,214042
121128,234658
121128,238711
121128,251471
121128,365603
121128,491047
121128,528902
121128,537961
121128,544051
121128,544061
121128,544551
121128,545835
121132,252057
121132,410236
121132,415606
121132,545544
121132,546356
121132,547581
121137,165158
121137,211274
121137,214042
121137,363385
121137,543849
121137,548030
121138,121139
121138,121140
121139,121140
121139,133459
121139,142858
121139,149270
121139,194403
121139,284463
121139,300214
121139,334337
121139,372381
121139,543209
121139,546540
121139,547060
121140,149270
121140,284463
121140,334337
121140,546540
121140,547060
121182,143313
121202,461361
121206,547128
121724,243953
121724,281217
121724,544481
121724,548091
121946,546406
122062,172498
122062,303101
122062,548091
122600,158141
122600,166574
122600,207241
122600,267486
122600,275804
122600,300166
122600,447307
122673,220707
122673,271953
122673,376104
122673,547543
122779,224532
122779,548091
123779,545832
124556,534814
124703,277253
124703,548091
124883,271031
124883,426666
124883,485508
125074,427956
125074,440922
125181,548091
125290,544268
125290,547522
125290,548179
126120,470799
126269,545413
126269,546281
126269,546477
126911,547529
126911,548091
127400,180071
127400,219815
127400,332693
127400,547699
127522,543849
127699,135480
127699,149342
127699,175999
127699,183012
127699,216299
127699,320511
127699,362131
127699,385560
127699,465382
127699,517788
128037,538433
128063,545832
128158,129194
128317,548091
128340,546477
128353,160017
128353,188580
128353,196783
128353,309657
128353,331967
128353,523641
128353,548091
128432,545726
128492,545796
129042,461361
129181,548091
129194,138496
129194,158199
129194,165024
129194,165911
129194,183554
129194,208585
129194,224047
129194,291815
129194,302692
129194,333041
129194,363401
129194,381014
129194,447075
129194,473879
129194,481055
129194,546406
129194,547128
129194,547245
129198,548175
129739,281993
129739,336762
129739,342401
129739,365527
129739,396872
129739,397531
129739,528708
130223,161917
130223,161919
130223,212084
130223,237034
130223,281034
130223,290120
130223,528562
130223,530643
130223,537413
130223,539453
130223,546057
130223,547441
130223,547443
130223,547976
130613,274745
131063,180637
131417,547522
131559,211274
131754,548084
131933,545385
132733,538433
132741,548091
132744,224532
132744,243110
132744,548091
132753,188580
132866,537414
133459,284463
133459,546540
133801,133865
133801,180637
133801,300748
133801,366184
133801,521644
133803,208585
133844,548091
133845,167555
133845,419010
133857,545796
133861,213142
133861,213143
133863,213142
133863,213143
133865,269822
134393,546282
134398,548091
134401,174121
134470,426666
134470,545796
134525,546594
134690,548076
135335,543552
135335,543553
135480,148957
135480,149342
135480,175999
135480,216299
135480,264597
135480,316134
135480,320511
135480,362131
135480,507909
135480,517788
135480,548091
135753,543849
136198,548091
136200,543552
136200,543553
136205,136246
136205,252943
136205,292760
136205,426666
136205,485508
136205,545035
136205,548091
136206,537960
136206,543552
136246,252943
136246,485508
136246,545796
136247,234658
136247,544551
136293,534814
136750,548091
137068,163033
137068,255997
137068,545832
137068,546566
137219,208249
137282,178333
137282,268334
137282,545844
137490,363478
137542,363426
137859,548091
137929,481834
138213,548076
138259,366487
138259,461838
138425,542800
138496,210911
138503,538982
138503,548091
138839,210921
139497,545137
139507,535922
139507,544572
139507,545882
139769,175999
139769,465382
140128,545991
140204,538433
140257,208249
140957,466520
140957,511425
140957,544236
140957,547688
141540,545545
141756,533312
142233,285814
142423,376104
142471,261582
142471,261590
142693,545015
142792,548091
142842,202059
142842,402161
142842,500197
142858,149270
142858,284463
142858,334337
142858,546540
142858,547060
142883,548091
143300,544903
143304,211274
143313,548091
143327,537110
143327,547320
143327,548433
143552,534814
143552,548091
143599,548175
143653,259708
143675,548091
143855,289703
143855,548091
144205,165114
144205,323530
144840,450247
145479,545791
145479,546203
145479,548284
145633,548091
145850,548091
146279,544481
146720,546594
146757,166622
146757,367419
146757,546304
146757,547133
146789,220707
146789,271953
146789,376104
146789,547543
146863,158233
146863,548091
148082,166705
148126,190752
148126,532214
148231,534814
148343,237638
148369,468269
148369,507437
148902,241168
148902,530645
148902,542957
148902,548091
148957,262716
148957,320511
148957,433299
149342,175999
149342,246572
149342,313037
149342,320511
149342,408413
149342,433299
149342,465382
149342,482148
149342,507909
149534,547128
149538,547128
149544,268334
149544,548091
149546,542416
149546,544548
149546,546863
149549,277253
149549,544551
149549,546357
149549,548091
149559,255997
149811,243953
149811,544481
149837,202059
150282,300413
150282,546594
151362,177730
151362,530643
151467,366487
151467,461838
151467,546918
151467,547969
151842,391837
151842,548091
152095,314498
152095,507437
152106,208249
152109,208249
152287,252943
152591,235481
152591,293126
152700,545726
152760,545726
153358,364048
153593,545137
154067,158200
154067,445135
154067,533312
154067,533601
154067,536928
154514,286051
154651,194355
154651,546332
155155,537413
155155,546098
155155,547023
155542,470799
155711,208249
155711,548387
156050,546549
156050,547522
156197,548387
156543,546337
156543,548091
156736,409188
157245,546549
157245,547522
157254,376104
157505,177730
157505,218678
157505,255997
157984,209520
157984,279677
157984,293126
157984,332330
157984,358877
157984,426465
158087,287879
158131,230418
158199,542486
158199,546028
158199,547245
158200,224437
158200,299543
158200,398682
158200,533312
158200,548091
158201,166705
158226,426666
158226,545796
158233,271584
158233,548091
158317,201595
158317,230420
158317,231522
158317,362609
158317,429720
158317,548091
159285,548091
159404,546594
